File_Name,Transcription,Ground_Truth
121-121726-0000.flac,ALSO A POPULAR CONTRIVANCE WHEREBY LOVE MAKING MAY BE SUSPENDED BUT NOT STOPPED DURING THE PICNIC SEASON,ALSO A POPULAR CONTRIVANCE WHEREBY LOVE MAKING MAY BE SUSPENDED BUT NOT STOPPED DURING THE PICNIC SEASON
121-121726-0001.flac,HARANG THE TIRESOME PRODUCT OF A TIRELESS TONGUE,HARANGUE THE TIRESOME PRODUCT OF A TIRELESS TONGUE
121-121726-0002.flac,ANGOR PAIN PAINFUL TO HEAR,ANGOR PAIN PAINFUL TO HEAR
121-121726-0003.flac,HEY FEVER A HEART TROUBLE CAUSED BY FALLING IN LOVE WITH A GRASS WIDOW,HAY FEVER A HEART TROUBLE CAUSED BY FALLING IN LOVE WITH A GRASS WIDOW
121-121726-0004.flac,HEAVEN A GOOD PLACE TO BE RAISED TO,HEAVEN A GOOD PLACE TO BE RAISED TO
121-121726-0005.flac,HEDGE A FENCE,HEDGE A FENCE
121-121726-0006.flac,HEREDITY THE CAUSE OF ALL OUR FAULTS,HEREDITY THE CAUSE OF ALL OUR FAULTS
121-121726-0007.flac,HORSE SENSE A DEGREE OF WISDOM THAT KEEPS ONE FROM BETTING ON THE RACES,HORSE SENSE A DEGREE OF WISDOM THAT KEEPS ONE FROM BETTING ON THE RACES
121-121726-0008.flac,HOSE MAN'S EXCUSE FOR WETTING THE WALK,HOSE MAN'S EXCUSE FOR WETTING THE WALK
121-121726-0009.flac,HOTEL A PLACE WHERE A GUEST OFTEN GIVES UP GOOD DOLLARS FOR POOR QUARTERS,HOTEL A PLACE WHERE A GUEST OFTEN GIVES UP GOOD DOLLARS FOR POOR QUARTERS
121-121726-0010.flac,HOUSE CLEANING A DOMESTIC UPHEAVAL THAT MAKES IT EASY FOR THE GOVERNMENT TO ENLIST ALL THE SOLDIERS IT NEEDS,HOUSECLEANING A DOMESTIC UPHEAVAL THAT MAKES IT EASY FOR THE GOVERNMENT TO ENLIST ALL THE SOLDIERS IT NEEDS
121-121726-0011.flac,HUSBAND THE NEXT THING TO A WIFE,HUSBAND THE NEXT THING TO A WIFE
121-121726-0012.flac,HUSSY WOMAN AND BOND TIE,HUSSY WOMAN AND BOND TIE
121-121726-0013.flac,TIED TO A WOMAN,TIED TO A WOMAN
121-121726-0014.flac,HYPOCRITE A HORSEDEALER,HYPOCRITE A HORSE DEALER
